user_id	level	avgtime	cishu	timecha	type1num	type2num	type1tuinum	type2tuinum
2721269	6	83.57 	213	1353	2	2	0	0
27633500	5	133.57 	117	132	2	1	0	0
28051001	5	98.33 	51	132	2	5	0	0
3129509	4	25.00 	76	1170	1	0	0	0
31713043	5	105.71 	70	130	1	1	0	0
3176934	1	26.67 	8	1157	4	2	0	0
3193314	4	8.33 	51	1153	1	0	0	0
3341133	4	43.75 	39	1117	3	1	0	0
3360530	1	33.75 	9	1113	1	0	0	0
3564293	4	60.71 	31	1086	2	1	0	0
35859392	4	73.75 	83	126	5	0	0	0
37004837	4	105.71 	19	125	3	1	0	0
39323106	2	90.00 	5	124	1	0	0	0
39427371	1	45.00 	26	124	3	0	0	0
40325006	3	25.00 	53	123	1	1	0	0
40872763	6	152.14 	207	122	1	1	0	0
4465160	5	168.33 	102	1038	4	0	0	0
44777969	4	60.00 	45	107	3	0	0	0
4519116	2	57.50 	9	1033	5	0	0	0
45556376	4	56.67 	31	102	3	1	0	0
4578959	4	36.00 	5	1028	2	0	0	0
45854051	4	105.83 	50	99	4	1	1	0
46511003	4	37.86 	31	93	3	1	0	0
47125358	4	46.00 	31	84	4	13	0	0
47179006	5	80.83 	38	83	1	0	0	0
4814138	4	12.50 	70	1008	3	1	0	0
48198453	4	65.71 	33	64	1	5	0	0
48594268	4	11.00 	29	54	1	0	0	0
49162122	4	26.43 	27	33	3	2	0	0
49164271	5	174.29 	50	32	1	1	0	0
49228433	4	74.29 	30	31	1	2	0	0
49428514	3	85.83 	22	27	4	1	0	0
49448429	4	112.86 	27	27	4	8	0	0
49590620	3	20.00 	8	23	2	0	0	0
49714933	4	115.00 	26	20	2	1	0	0
49718720	4	76.43 	29	20	2	1	0	0
49755323	3	90.71 	7	19	1	1	0	0
49763835	4	82.14 	24	19	3	1	0	0
49767902	4	124.29 	7	19	6	1	0	0
49782364	3	73.57 	9	18	2	1	0	0
49787110	4	18.00 	5	18	2	0	0	0
49789378	3	100.00 	8	18	3	2	0	0
49819205	1	10.00 	5	17	1	0	1	0
49846246	4	44.29 	9	17	3	1	0	0
49869402	4	84.17 	9	16	3	28	0	0
49902491	1	31.00 	6	15	1	0	0	0
49910079	4	131.43 	9	15	2	0	0	0
49918948	3	79.17 	8	15	2	0	0	0
49923953	3	32.86 	8	15	3	3	0	0
49996277	3	87.00 	5	13	6	13	0	0
50002455	2	68.75 	7	13	3	13	0	0
50052799	2	15.00 	8	11	1	2	0	0
50055480	2	38.75 	5	11	3	0	0	0
50106944	3	78.33 	9	9	1	0	0	0
50160998	2	8.75 	5	7	3	1	0	0
50196236	1	25.00 	5	6	3	2	0	0
50203831	3	75.71 	6	6	3	20	0	0
50204202	0	8.75 	3	6	3	0	0	0
50271290	2	43.00 	5	4	6	21	3	0
5622855	4	98.75 	104	956	5	2	0	0
5906670	1	10.00 	31	915	2	2	0	0
6215897	5	45.00 	130	882	2	0	0	0
6299078	4	47.00 	102	875	1	1	0	0
6303565	5	45.83 	148	874	2	0	1	0
6349156	4	23.33 	75	871	1	0	0	0
6667026	4	102.50 	87	837	3	0	0	0
7088398	4	64.29 	24	805	4	1	0	0
7154177	6	47.50 	199	800	1	0	0	0
7189016	4	102.50 	52	797	2	1	0	0
7353299	4	74.00 	123	786	1	0	0	0
7812331	3	180.00 	47	759	4	0	1	0
7981731	4	56.25 	70	751	1	0	0	0
7987023	1	16.67 	3	751	3	2	0	0
8462463	4	55.83 	128	733	1	0	0	0
859905	1	42.50 	8	2412	1	1	0	0
8872831	1	21.25 	97	719	3	0	0	0
8877899	0	13.33 	4	719	2	4	0	0
8942880	4	20.00 	43	718	1	0	0	0
